user_name;time;date;stadt;text;flixbus;bahn;blablacar;land;pos
347775881990178_1130831833684575;18:33:00;31.08.2017;;"????Das Klimaschutzprojekt mit myclimate in Madagaskar ????
Eure Fragen und die Antworten in einer Bilderstrecke.
http://blbl.cr/Solarkocher";0;0;1;DE;0
347775881990178_1133057910128634;03:58:42;31.08.2017;;Suche MfG am Montag von Aachen (Umkreis 30 km) ins Emsland. Einfach pN an mich;0;0;1;DE;0
347775881990178_1156684097766015;18:23:06;30.09.2017;;Gibt es aktuell Probleme mit dem bewerten in der app? Ich kann nämlich keine Bewertung schreiben??;0;0;1;DE;0
347775881990178_1156586127775812;15:26:03;30.09.2017;;Fährt morgen jemand von hh nach München gegen 13 oder 14 uhr;0;0;1;DE;0
347775881990178_1178662515568173;09:57:28;29.10.2017;;Fährt jemand von Oldenburg nach Frankfurt am Main heute und hat noch zwei Plätze frei? Über die App kommt man leider nicht weiter...vielen Dank ??;0;0;1;DE;0
347775881990178_1137630389671386;12:52:01;29.09.2017;;?? Smalltalk Tipps gesucht! Worüber redet ihr im Auto? ??;0;0;1;DE;0
347775881990178_1131723656928726;11:19:20;29.08.2017;;"So langsam bin ich nur noch enttäuscht von der App und deren Nutzer.
Bei nahezu jeder zweiter gebuchten Fahrt wird einem mittlerweile von Seiten der Fahrer abgesagt und die Mitfahrer bleiben auf den dadurch entstehenden Unkosten, sowie dem Organisationsstress sitzen, wohingegen die Fahrer jedes Mal das Geld bekommen, wenn von Seiten der Mitfahrer storniert wird.
Fällt euch hierbei die Ungleichverteilung eures Zahlungskonzepts auf? Offensichtlich verschließt ihr bewusst die Augen davor. Das ist traurig.

Dieses Zahlungskonzept bei BlaBlaCar weist eine massive Konzeptionslücke auf, an dessen Lösung die Entwickler von BlaBlaCar bisher rein gar kein Interesse gezeigt haben. Ich finde das äußerst schade, denn man kommt sich hier langsam echt verarscht vor.
Es wäre mal an der Zeit das ganze von Grund auf zu überarbeiten und u.a. die Stornierungsraten der Fahrer mit in die Bewertung einzuschließen.
Weshalb kann ich einen Fahrer eigentlich nicht bewerten wenn er von sich aus storniert? Ist alles ein wenig einseitig ausgelegt, sodass die Fahrer immer gut dabei wegkommen.";0;0;1;DE;2
347775881990178_1131676473600111;09:45:08;29.08.2017;;wo habt ihr denn jetzt wieder die Bewertungsfunktion versteckt?;0;0;1;DE;0
347775881990178_1155054011262357;11:57:15;28.09.2017;;"Eure Zensur ist einfach nur lächerlich: ""At first you have to click ""Buchung anfragen"", than you get my phone number""
-> wieso wird das nicht freigegeben? Wenn ihr schon zensiert, dann lasst das nicht ne Maschine machen, sondern jemand mit Intelligenz";0;0;1;DE;2
347775881990178_1130907683676990;11:22:24;28.08.2017;;Witam szukam przejazdu na dzisiaj z Wroc?awia do Kolonii dla dwóch osób.;0;0;1;DE;0
347775881990178_1177505209017237;21:43:30;27.10.2017;;So hätten für morgen noch drei Plätze frei von Düsseldorf nach Koblenz und Sonntag zurück denn;0;0;1;DE;0
347775881990178_1177494189018339;21:20:30;27.10.2017;;"Wieso hacken hier eigentlich so viele auf BlaBlaCar rum? Sorry, wenn Ihr den Service nicht wollt, es zwingt Euch auch keiner BlaBlaCar zu benutzen. Es gibt ja immer noch Alternativen. Aber vielleicht solltet Ihr Euch mal überlegen, ob Ihr dort versichert seid, egal ob bei Unfall oder Panne. Ob das Buchungssystem mit einem Suchagenten so gut klappt, ob dahinter ein sehr hochperformantes Buchungssystem steht, eine komfortable App und ein fixes Nachrichtensystem.

Es ist so typisch deutsch, dass man sich drüber beklagt, dass eine Leistung was kostet. Geht einer von Euch für 0€ in die Arbeit? Sicher nicht, also seht doch bitte auch mal die geistige Leistung und die substantiellen Services, die hinter BlaBlaCar stehen.

Ich fahre viel und gerne nach Frankreich und die Franzosen waren angekotzt, dass online zahlen zu meinem deutschen Account noch nicht ging. Jetzt sind sie heilfroh, dass es endlich geht. Und die finden es auch toll, dass sie bei Unfall und Panne versichert sind und ggf. der Weitertransport organisiert wird. Das ist doch echt was wert!

Aber so ist eben Deutschland ""Geiz ist geil"". Beschweren, dass der Liter Milch um 2 €Ct. teurer geworden ist aber dreimal im Jahr fett in Urlaub fliegen und nen dicken Benz fahren wollen. Leeeeeeeeuuuute, kommt mal runter von dem Tripp.

Ich bin überzeugter BlaBlaCar-Nutzer und froh, dass meine Mitfahrer versichert sind und ich garantiert mein Geld bekomme. Für lau geht das halt einfach nicht. Also akzeptiert die Gebühren oder lasst Euren Account löschen, aber spamt nicht die Facebook-Seite voll.

UPDATE 30.10.17:
Ich bin gestern mit insgesamt 5 Mitfahrern nach Paris gefahren. Und *KEINER* hat die Gebühren angesichts der Leistungen als überhöht gesehen... Vielleicht sind ja einfach die Angebote der einzelnen Fahrtanbieter zu teuer....";0;0;1;DE;2
347775881990178_1154680387966386;21:40:37;27.09.2017;;Grüße, kann er am Freitag, den 29. September, von Göttingen nach Stuttgart reisen?;0;0;1;DE;0
347775881990178_1154589614642130;18:21:27;27.09.2017;;Der letzte Laden: und kein Service und Support...schlimm!!!!;0;0;1;DE;2
347775881990178_1154589141308844;18:19:58;27.09.2017;;Das Schlechteste was Einem passieren kann: zu hoffen, dass eine gebuchte Fahrt über bla bla car auch klappt...ich hoffe, dass ich das bereits bezahlte Geld wiederbekomme!!!!;0;0;1;DE;2
347775881990178_1154582551309503;18:07:58;27.09.2017;;Führt bitte die Schnäppchenstunde wieder ein.;0;0;1;DE;0
347775881990178_1130839930350432;11:52:00;27.09.2017;;"????Das Klimaschutzprojekt mit myclimate in ????Madagaskar ????
Alle Fragen findet ihr hier: http://blbl.cr/Solarkocher";0;0;1;DE;0
347775881990178_1165318023569289;09:00:00;25.10.2017;;"Diese Chance gibt es nur einmal in 500 Jahren - wohin würdest du am langen Reformationstagswochenende gerne fahren?

?????? Mit BlaBlaCar kommst du auch jetzt noch günstig von A nach B...oder C!??????

???blbl.cr/Reformationstag???";0;0;1;DE;0
347775881990178_1128859840548441;21:17:35;25.08.2017;;"Einfach nur unzuverlässig.
#sinnloooooos!";0;0;1;DE;2
347775881990178_1128052980629127;19:09:44;24.08.2017;;"Jetzt hat man sich einigermaßen an das neue System gewöhnt, da kommt die nächste fragwürdige ""(anti-)Funktion"", ich habe ein Inserat veröffentlicht und habe meine Fahrt nur ein klein wenig abgeändert, schon kann ich nicht mehr auf meine Nachrichten zugreifen und mich mit meinen potenziellen Mitfahren kurzschließen, was soll das? Wieso kann ich die Konversation nicht mehr fortführen und wieso steht da "" Fahrt zu der Konversation wurde gelöscht"" anstatt ""abgeändert""? Möglicherweise sind meine Mitfahrer jetzt nicht mehr 
.??";0;0;1;DE;2
